LocationID,zone,borough,service_zone,lng_lat
1,Newark Airport,EWR,EWR,"[-74.17400091112776, 40.69182919003611]"
2,Jamaica Bay,Queens,Boro Zone,"[-73.83129915915818, 40.6167421151559]"
3,Allerton/Pelham Gardens,Bronx,Boro Zone,"[-73.84742201371047, 40.864473339346205]"
4,Alphabet City,Manhattan,Yellow Zone,"[-73.9769682656961, 40.72375199898601]"
5,Arden Heights,Staten Island,Boro Zone,"[-74.18848434497808, 40.552658237071654]"
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,"[-74.07177040409631, 40.60032377862543]"
7,Astoria,Queens,Boro Zone,"[-73.91969432588706, 40.76149217573993]"
8,Astoria Park,Queens,Boro Zone,"[-73.92308621102427, 40.77855856558414]"
9,Auburndale,Queens,Boro Zone,"[-73.78794881729702, 40.75103387177634]"
10,Baisley Park,Queens,Boro Zone,"[-73.79098655939507, 40.67895261764967]"
11,Bath Beach,Brooklyn,Boro Zone,"[-74.00748799989438, 40.604272423459626]"
12,Battery Park,Manhattan,Yellow Zone,"[-74.01556350632734, 40.70294580241989]"
13,Battery Park City,Manhattan,Yellow Zone,"[-74.01607921146993, 40.71203778804201]"
14,Bay Ridge,Brooklyn,Boro Zone,"[-74.02989244047723, 40.62483280360337]"
15,Bay Terrace/Fort Totten,Queens,Boro Zone,"[-73.7859725667351, 40.78333245804546]"
16,Bayside,Queens,Boro Zone,"[-73.77342147746799, 40.762736654047785]"
17,Bedford,Brooklyn,Boro Zone,"[-73.94990492126504, 40.691506631510805]"
18,Bedford Park,Bronx,Boro Zone,"[-73.89018354834924, 40.86768193865388]"
19,Bellerose,Queens,Boro Zone,"[-73.7266553881916, 40.73548595562881]"
20,Belmont,Bronx,Boro Zone,"[-73.88586746496209, 40.857779264482595]"
21,Bensonhurst East,Brooklyn,Boro Zone,"[-73.98353746323951, 40.601428592019495]"
22,Bensonhurst West,Brooklyn,Boro Zone,"[-73.99525861356602, 40.612217137948434]"
23,Bloomfield/Emerson Hill,Staten Island,Boro Zone,"[-74.17088599548083, 40.60644500050834]"
24,Bloomingdale,Manhattan,Yellow Zone,"[-73.96547943750127, 40.80197042318574]"
25,Boerum Hill,Brooklyn,Boro Zone,"[-73.98611378571248, 40.685633572787424]"
26,Borough Park,Brooklyn,Boro Zone,"[-73.98866090592838, 40.630948639363986]"
27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,"[-73.90691014247585, 40.55913235432061]"
28,Briarwood/Jamaica Hills,Queens,Boro Zone,"[-73.80872912164281, 40.71159607630794]"
29,Brighton Beach,Brooklyn,Boro Zone,"[-73.96121669616622, 40.58092153496278]"
30,Broad Channel,Queens,Boro Zone,"[-73.8219272357832, 40.60368655448418]"
31,Bronx Park,Bronx,Boro Zone,"[-73.87547598553503, 40.8577450513874]"
32,Bronxdale,Bronx,Boro Zone,"[-73.86490095603946, 40.86400186241906]"
33,Brooklyn Heights,Brooklyn,Boro Zone,"[-73.99525010927887, 40.69579795062662]"
34,Brooklyn Navy Yard,Brooklyn,Boro Zone,"[-73.97118865006931, 40.70085557839063]"
35,Brownsville,Brooklyn,Boro Zone,"[-73.91025780328744, 40.66400260182285]"
